STATE;COUNTY;TRACT;FIPSSTCO;TRT2000;STFID;POP2000
37;183;501;37183;50100;37183050100;1847
37;183;503;37183;50300;37183050300;2029
37;183;504;37183;50400;37183050400;1475
37;183;505;37183;50500;37183050500;3484
37;183;506;37183;50600;37183050600;3823
37;183;507;37183;50700;37183050700;2967
37;183;508;37183;50800;37183050800;4425
37;183;509;37183;50900;37183050900;3708
37;183;510;37183;51000;37183051000;2510
37;183;511;37183;51100;37183051100;1388
37;183;512;37183;51200;37183051200;3206
37;183;514;37183;51400;37183051400;5219
37;183;515.01;37183;51501;37183051501;3009
37;183;515.02;37183;51502;37183051502;2595
37;183;516;37183;51600;37183051600;4277
37;183;517;37183;51700;37183051700;3092
37;183;518;37183;51800;37183051800;4280
37;183;519;37183;51900;37183051900;4947
37;183;520.01;37183;52001;37183052001;3918
37;183;520.02;37183;52002;37183052002;5455
37;183;521.01;37183;52101;37183052101;5423
37;183;521.02;37183;52102;37183052102;2965
37;183;522.01;37183;52201;37183052201;1496
37;183;522.02;37183;52202;37183052202;4284
37;183;523.01;37183;52301;37183052301;3730
37;183;523.02;37183;52302;37183052302;4631
37;183;524.01;37183;52401;37183052401;2689
37;183;524.02;37183;52402;37183052402;8749
37;183;524.04;37183;52404;37183052404;3907
37;183;524.05;37183;52405;37183052405;13179
37;183;525.01;37183;52501;37183052501;7862
37;183;525.03;37183;52503;37183052503;5133
37;183;525.04;37183;52504;37183052504;4786
37;183;526.01;37183;52601;37183052601;2827
37;183;526.02;37183;52602;37183052602;4073
37;183;526.03;37183;52603;37183052603;3260
37;183;527.01;37183;52701;37183052701;5360
37;183;527.03;37183;52703;37183052703;8520
37;183;527.04;37183;52704;37183052704;5742
37;183;527.05;37183;52705;37183052705;3327
37;183;528.01;37183;52801;37183052801;5880
37;183;528.02;37183;52802;37183052802;5636
37;183;528.03;37183;52803;37183052803;5411
37;183;528.04;37183;52804;37183052804;7186
37;183;528.05;37183;52805;37183052805;7466
37;183;529;37183;52900;37183052900;12275
37;183;530.01;37183;53001;37183053001;16041
37;183;530.02;37183;53002;37183053002;9878
37;183;531.01;37183;53101;37183053101;9288
37;183;531.03;37183;53103;37183053103;8412
37;183;531.04;37183;53104;37183053104;7687
37;183;532;37183;53200;37183053200;17093
37;183;534.02;37183;53402;37183053402;7435
37;183;534.03;37183;53403;37183053403;17410
37;183;534.04;37183;53404;37183053404;14168
37;183;534.05;37183;53405;37183053405;3818
37;183;534.06;37183;53406;37183053406;5135
37;183;534.07;37183;53407;37183053407;6195
37;183;535.01;37183;53501;37183053501;7458
37;183;535.05;37183;53505;37183053505;3824
37;183;535.06;37183;53506;37183053506;5337
37;183;535.07;37183;53507;37183053507;3069
37;183;535.08;37183;53508;37183053508;8327
37;183;535.09;37183;53509;37183053509;5049
37;183;535.1;37183;53510;37183053510;8011
37;183;535.12;37183;53512;37183053512;5144
37;183;535.13;37183;53513;37183053513;3475
37;183;535.14;37183;53514;37183053514;5761
37;183;535.15;37183;53515;37183053515;5406
37;183;536;37183;53600;37183053600;9437
37;183;537.03;37183;53703;37183053703;13944
37;183;537.06;37183;53706;37183053706;7563
37;183;537.07;37183;53707;37183053707;5951
37;183;537.09;37183;53709;37183053709;3942
37;183;537.1;37183;53710;37183053710;6889
37;183;537.11;37183;53711;37183053711;4803
37;183;537.12;37183;53712;37183053712;2455
37;183;537.13;37183;53713;37183053713;3382
37;183;537.14;37183;53714;37183053714;4486
37;183;537.15;37183;53715;37183053715;3516
37;183;537.16;37183;53716;37183053716;4401
37;183;538.01;37183;53801;37183053801;9546
37;183;538.02;37183;53802;37183053802;8777
37;183;539;37183;53900;37183053900;4747
37;183;540.01;37183;54001;37183054001;5539
37;183;540.03;37183;54003;37183054003;6812
37;183;540.04;37183;54004;37183054004;4615
37;183;540.06;37183;54006;37183054006;3255
37;183;540.07;37183;54007;37183054007;3737
37;183;540.08;37183;54008;37183054008;5604
37;183;540.09;37183;54009;37183054009;9203
37;183;540.1;37183;54010;37183054010;8829
37;183;541.02;37183;54102;37183054102;9779
37;183;541.04;37183;54104;37183054104;4579
37;183;541.05;37183;54105;37183054105;6840
37;183;541.06;37183;54106;37183054106;4149
37;183;541.07;37183;54107;37183054107;8558
37;183;541.08;37183;54108;37183054108;4744
37;183;541.09;37183;54109;37183054109;2457
37;183;542.01;37183;54201;37183054201;15119
37;183;542.02;37183;54202;37183054202;10870
37;183;543.01;37183;54301;37183054301;4879
37;183;543.02;37183;54302;37183054302;5790
37;183;544.01;37183;54401;37183054401;7709
37;183;544.02;37183;54402;37183054402;4068
